mensagem
depositar;1230;200
sacar;2341;150
saldo;3452
depositar;4560;400
sacar;5671;100
depositar;6782;850
saldo;7890
depositar;8901;300
sacar;9012;120
saldo;1120
depositar;2231;270
sacar;3342;90
saldo;4450
depositar;5561;1000
sacar;6672;250
depositar;7780;150
sacar;8891;600
saldo;9902
depositar;1110;350
sacar;2221;100
depositar;3332;900
sacar;4443;200
saldo;5554
depositar;6665;450
sacar;7773;300
saldo;8884
depositar;9995;500
sacar;1213;350
depositar;2324;700
saldo;3435
depositar;4543;120
sacar;5654;180
depositar;6765;300
saldo;7873
sacar;8984;75
depositar;9095;650
saldo;1103
sacar;2214;190
depositar;3325;880
saldo;4433
sacar;5544;210
depositar;6655;510
saldo;7763
sacar;8874;330
depositar;9985;420
depositar;1296;370
saldo;2317
sacar;3428;80
depositar;4536;560
saldo;5647
depositar;6758;660
sacar;7866;170
saldo;8977
depositar;9088;750
sacar;1196;220
saldo;2207
depositar;3318;410
sacar;4426;240
depositar;5537;390
saldo;6648
sacar;1230;160
depositar;2341;520
saldo;3452
sacar;4560;180
depositar;5671;440
saldo;6782
sacar;7890;110
depositar;8901;830
saldo;9012
depositar;1120;980
sacar;2231;450
saldo;3342
depositar;4450;300
sacar;5561;170
saldo;6672
depositar;7780;290
sacar;8891;320
saldo;9902
depositar;1110;390
sacar;2221;160
depositar;3332;780
saldo;4443
sacar;5554;190
depositar;6665;660
saldo;7773
sacar;8884;310
depositar;9995;730
saldo;1213
depositar;2324;240
sacar;3435;230
saldo;4543
depositar;5654;610
sacar;6765;280
saldo;7873
sacar;8984;330
depositar;9095;350
saldo;1103
sacar;2214;100
depositar;3325;720
saldo;4433
sacar;5544;90
depositar;6655;470
saldo;7763
sacar;8874;200
depositar;9985;310
saldo;1296
sacar;2317;150
depositar;3428;390
saldo;4536
sacar;5647;220
depositar;6758;540
saldo;7866
sacar;8977;180
depositar;9088;670
saldo;1196
sacar;2207;300
depositar;3318;450
saldo;4426
sacar;5537;190
depositar;6648;520
saldo;1230
sacar;2341;140
depositar;3452;600
saldo;4560
sacar;5671;210
depositar;6782;330
saldo;7890
sacar;8901;90
depositar;9012;510
saldo;1120
sacar;2231;130
depositar;3342;490
saldo;4450
sacar;5561;300
depositar;6672;580
saldo;7780
sacar;8891;270
depositar;9902;620
saldo;1110
sacar;2221;350
depositar;3332;460
saldo;4443
sacar;5554;100
depositar;6665;850
saldo;7773
sacar;8884;220
depositar;9995;310
saldo;1213
