Elapsed time;Envio TCP
20:09:10,0;509.5
20:09:10,500;507.75
20:09:11,0;511.2857142857143
20:09:11,500;525.0
20:09:12,0;555.7777777777778
20:09:12,500;652.75
20:09:13,0;632.6
20:09:13,500;763.1666666666666
20:09:14,0;568.6666666666666
20:09:14,500;698.24
20:09:15,0;689.5
20:09:15,500;800.8333333333334
20:09:16,0;666.55
20:09:16,500;579.4666666666665
20:09:17,0;539.7058823529412
20:09:17,500;614.9333333333333
20:09:18,0;604.6666666666666
20:09:18,500;536.6551724137931
20:09:19,0;513.9166666666666
20:09:19,500;714.2142857142857
20:09:20,0;589.3529411764706
20:09:20,500;660.1538461538463
20:09:21,0;709.1578947368421
20:09:21,500;816.5925925925926
20:09:22,0;691.4615384615385
20:09:22,500;683.0
20:09:23,0;856.2142857142857
20:09:23,500;979.2380952380952
20:09:24,0;763.8888888888889
20:09:24,500;890.3076923076923
20:09:25,0;798.72
20:09:25,500;699.9666666666667
20:09:26,0;526.0384615384617
20:09:26,500;543.8125000000001
20:09:27,0;527.2083333333335
20:09:27,500;741.2333333333333
20:09:28,0;663.6206896551726
20:09:28,500;535.0
20:09:29,0;601.4666666666667
20:09:29,500;639.9
20:09:30,0;571.3846153846155
20:09:30,500;699.9230769230769
20:09:31,0;867.2592592592592
20:09:31,500;721.5294117647059
20:09:32,0;620.8928571428571
20:09:32,500;534.6363636363635
20:09:33,0;561.793103448276
20:09:33,500;557.9999999999999
20:09:34,0;516.3333333333335
20:09:34,500;519.2083333333331
20:09:35,0;634.8888888888889
20:09:35,500;752.1724137931035
20:09:36,0;576.0
20:09:36,500;614.0
20:09:37,0;560.0666666666667
20:09:37,500;524.6071428571429
20:09:38,0;677.9
20:09:38,500;527.3076923076923
20:09:39,0;576.76
20:09:39,500;537.8000000000001
20:09:40,0;548.1379310344826
20:09:40,500;532.0909090909091
20:09:41,0;845.24
20:09:41,500;678.9333333333333
20:09:42,0;584.3333333333334
20:09:42,500;1028.3333333333333
20:09:43,0;912.952380952381
20:09:43,500;712.3
20:09:44,0;525.9999999999999
20:09:44,500;707.0
20:09:45,0;726.1666666666666
20:09:45,500;644.7
20:09:46,0;713.4782608695652
20:09:46,500;554.9666666666667
20:09:47,0;521.9999999999999
20:09:47,500;520.6
20:09:48,0;720.4137931034483
20:09:48,500;648.9333333333333
20:09:49,0;594.4782608695652
20:09:49,500;637.6111111111111
20:09:50,0;730.12
20:09:50,500;547.4333333333333
20:09:51,0;575.6666666666666
20:09:51,500;587.8965517241379
20:09:52,0;544.5862068965517
20:09:52,500;602.8928571428571
20:09:53,0;554.8620689655173
20:09:53,500;581.16
20:09:54,0;642.0
20:09:54,500;754.6666666666666
20:09:55,0;557.7499999999999
20:09:55,500;589.6666666666666
20:09:56,0;549.7037037037036
20:09:56,500;585.925925925926
20:09:57,0;654.5833333333334
20:09:57,500;599.3076923076923
20:09:58,0;569.7333333333333
20:09:58,500;649.4666666666667
20:09:59,0;540.1
20:09:59,500;598.2777777777778
20:10:00,0;739.1000000000001
20:10:00,500;766.2692307692307
20:10:01,0;768.4
20:10:01,500;709.3684210526316
20:10:02,0;797.5666666666667
20:10:02,500;529.2666666666667
20:10:03,0;585.5333333333333
20:10:03,500;516.0
20:10:04,0;648.5714285714287
20:10:04,500;848.5666666666667
20:10:05,500;663.2666666666667
20:10:06,0;664.0952380952381
20:10:06,500;726.6923076923077
20:10:07,0;569.84
20:10:07,500;568.6896551724135
20:10:08,0;526.8666666666667
20:10:08,500;631.1000000000003
20:10:09,0;533.1538461538462
20:10:09,500;668.5666666666665
20:10:10,0;614.6363636363636
