Elapsed time;Envio TCP (success)
20:09:10,0;6.0
20:09:11,0;16.0
20:09:12,0;21.0
20:09:13,0;23.0
20:09:14,0;40.0
20:09:15,0;34.0
20:09:16,0;51.0
20:09:17,0;47.0
20:09:18,0;59.0
20:09:19,0;40.0
20:09:20,0;43.0
20:09:21,0;47.0
20:09:22,0;35.0
20:09:23,0;35.0
20:09:24,0;31.0
20:09:25,0;54.0
20:09:26,0;42.0
20:09:27,0;54.0
20:09:28,0;31.0
20:09:29,0;60.0
20:09:30,0;39.0
20:09:31,0;44.0
20:09:32,0;51.0
20:09:33,0;59.0
20:09:34,0;54.0
20:09:35,0;38.0
20:09:36,0;49.0
20:09:37,0;60.0
20:09:38,0;43.0
20:09:39,0;54.0
20:09:40,0;41.0
20:09:41,0;55.0
20:09:42,0;26.0
20:09:43,0;51.0
20:09:44,0;36.0
20:09:45,0;54.0
20:09:46,0;53.0
20:09:47,0;38.0
20:09:48,0;59.0
20:09:49,0;41.0
20:09:50,0;55.0
20:09:51,0;47.0
20:09:52,0;57.0
20:09:53,0;54.0
20:09:54,0;36.0
20:09:55,0;48.0
20:09:56,0;54.0
20:09:57,0;51.0
20:09:58,0;45.0
20:09:59,0;47.0
20:10:00,0;46.0
20:10:01,0;29.0
20:10:02,0;60.0
20:10:03,0;32.0
20:10:04,0;58.0
20:10:05,0;30.0
20:10:06,0;47.0
20:10:07,0;54.0
20:10:08,0;59.0
20:10:09,0;43.0
20:10:10,0;22.0
